,DEPTH,ROP,GR,CALI,BS,RD,RT,RM,NPHI,RHOB,DRHO,DT,PEF,label
24000,2588.5,13.82,25.686,8.547,8.5,0.539,0.45,0.45,0.236,2.209,0.044,83.764,4.977,0
24001,2588.6,13.82,24.855,8.547,8.5,0.552,0.455,0.455,0.226,2.224,0.046,82.533,4.953,0
24002,2588.7,13.791,25.02,8.547,8.5,0.558,0.454,0.454,0.218,2.236,0.047,81.413,4.939,0
24003,2588.8,13.763,25.629,8.547,8.5,0.564,0.457,0.457,0.213,2.245,0.049,80.262,4.948,0
24004,2588.9,13.733,26.665,8.547,8.5,0.571,0.462,0.462,0.211,2.253,0.052,79.44,4.973,0
24005,2589.0,13.463,26.043,8.516,8.5,0.575,0.472,0.472,0.213,2.259,0.055,79.686,4.989,0
24006,2589.1,13.192,26.184,8.5,8.5,0.589,0.497,0.497,0.213,2.263,0.056,80.948,4.982,0
24007,2589.2,12.922,26.654,8.547,8.5,0.606,0.55,0.55,0.21,2.264,0.055,82.573,4.967,0
24008,2589.3,12.742,26.756,8.547,8.5,0.635,0.584,0.584,0.21,2.263,0.054,83.305,4.968,0
24009,2589.4,12.562,26.857,8.547,8.5,0.652,0.607,0.607,0.209,2.262,0.052,84.037,4.969,0
24010,2589.5,12.203,26.987,8.523,8.5,0.66,0.617,0.617,0.21,2.261,0.051,85.18,4.992,0
24011,2589.6,11.844,27.086,8.5,8.5,0.672,0.604,0.604,0.208,2.26,0.051,86.107,5.011,0
24012,2589.7,11.598,26.362,8.5,8.5,0.689,0.651,0.651,0.206,2.261,0.052,86.693,5.0,0
24013,2589.8,11.353,26.146,8.5,8.5,0.716,0.693,0.693,0.207,2.261,0.052,87.478,4.963,0
24014,2589.9,11.108,26.847,8.547,8.5,0.754,0.789,0.789,0.206,2.26,0.052,88.356,4.918,0
24015,2590.0,10.988,27.646,8.547,8.5,0.795,0.852,0.852,0.208,2.259,0.052,88.975,4.893,0
24016,2590.1,10.868,27.428,8.547,8.5,0.844,0.959,0.959,0.214,2.259,0.051,89.41,4.918,0
24017,2590.2,10.748,29.921,8.5,8.5,0.915,1.056,1.056,0.226,2.264,0.048,89.685,5.043,0
24018,2590.3,10.622,35.445,8.516,8.5,0.943,1.185,1.185,0.239,2.275,0.043,89.523,5.293,0
24019,2590.4,10.497,41.969,8.531,8.5,1.011,1.318,1.318,0.248,2.297,0.037,88.939,5.641,0
24020,2590.5,10.371,46.436,8.535,8.5,1.07,1.406,1.406,0.254,2.329,0.031,87.974,6.023,0
24021,2590.6,10.278,49.185,8.562,8.5,1.124,1.537,1.537,0.254,2.368,0.031,87.208,6.38,0
24022,2590.7,10.185,48.965,8.547,8.5,1.189,1.736,1.736,0.253,2.408,0.035,86.061,6.712,0
24023,2590.8,10.092,52.202,8.547,8.5,1.217,1.797,1.797,0.252,2.441,0.043,84.494,7.011,0
24024,2590.9,10.088,56.954,8.547,8.5,1.236,1.845,1.845,0.254,2.462,0.052,83.733,7.174,0
24025,2591.0,10.085,57.067,8.547,8.5,1.209,1.664,1.664,0.255,2.472,0.061,83.249,7.137,0
24026,2591.1,10.081,54.373,8.547,8.5,1.171,1.455,1.455,0.253,2.471,0.07,83.084,6.92,0
24027,2591.2,10.077,48.03,8.5,8.5,1.12,1.257,1.257,0.25,2.455,0.077,83.544,6.541,0
24028,2591.3,10.073,42.92,8.5,8.5,1.059,1.154,1.154,0.244,2.419,0.08,84.149,6.032,0
24029,2591.4,10.07,40.414,8.5,8.5,0.997,1.103,1.103,0.242,2.365,0.077,84.882,5.538,0
24030,2591.5,10.075,39.801,8.5,8.5,0.926,0.947,0.947,0.244,2.316,0.07,85.576,5.259,0
24031,2591.6,10.081,38.956,8.547,8.5,0.821,0.753,0.753,0.244,2.286,0.064,86.27,5.169,0
24032,2591.7,10.084,38.122,8.547,8.5,0.75,0.686,0.686,0.246,2.277,0.062,86.627,5.147,0
24033,2591.8,10.086,37.29,8.547,8.5,0.698,0.644,0.644,0.247,2.267,0.06,86.983,5.124,0
24034,2591.9,10.082,36.951,8.531,8.5,0.675,0.627,0.627,0.252,2.252,0.057,87.977,5.094,0
24035,2592.0,10.079,35.339,8.547,8.5,0.659,0.573,0.573,0.251,2.239,0.056,89.088,5.087,0
24036,2592.1,10.075,34.695,8.547,8.5,0.628,0.562,0.562,0.252,2.228,0.055,90.327,5.103,0
24037,2592.2,10.081,34.101,8.547,8.5,0.588,0.552,0.552,0.254,2.219,0.055,91.608,5.129,0
24038,2592.3,10.086,33.614,8.547,8.5,0.57,0.521,0.521,0.256,2.211,0.054,93.05,5.148,0
24039,2592.4,10.092,33.458,8.547,8.5,0.552,0.476,0.476,0.258,2.202,0.053,94.969,5.15,0
24040,2592.5,10.088,33.625,8.531,8.5,0.542,0.437,0.437,0.265,2.193,0.05,97.434,5.143,0
24041,2592.6,10.084,34.971,8.516,8.5,0.53,0.441,0.441,0.274,2.184,0.047,100.118,5.17,0
24042,2592.7,10.081,36.186,8.5,8.5,0.518,0.422,0.422,0.291,2.177,0.043,102.795,5.257,0
24043,2592.8,10.086,37.457,8.5,8.5,0.512,0.419,0.419,0.318,2.174,0.039,104.933,5.424,0
24044,2592.9,10.092,40.557,8.5,8.5,0.533,0.428,0.428,0.354,2.178,0.034,106.685,5.737,0
24045,2593.0,10.097,46.431,8.547,8.5,0.559,0.495,0.495,0.387,2.193,0.028,107.75,6.232,0
24046,2593.1,10.094,54.663,8.547,8.5,0.602,0.566,0.566,0.411,2.215,0.026,108.503,6.867,0
24047,2593.2,10.09,64.582,8.547,8.5,0.633,0.605,0.605,0.413,2.235,0.029,108.977,7.528,0
24048,2593.3,10.086,70.507,8.584,8.5,0.68,0.677,0.677,0.389,2.241,0.034,108.622,8.038,0
24049,2593.4,10.082,66.063,8.687,8.5,0.682,0.639,0.639,0.348,2.227,0.038,108.449,8.169,0
24050,2593.5,10.079,60.506,8.586,8.5,0.664,0.579,0.579,0.321,2.201,0.036,108.401,7.763,0
24051,2593.6,10.075,53.814,8.531,8.5,0.666,0.516,0.516,0.307,2.186,0.032,108.09,6.994,0
24052,2593.7,10.081,49.455,8.5,8.5,0.642,0.529,0.529,0.31,2.192,0.033,108.601,6.277,0
24053,2593.8,10.086,49.271,8.516,8.5,0.654,0.524,0.524,0.327,2.21,0.037,109.874,5.834,0
24054,2593.9,10.092,53.365,8.547,8.5,0.698,0.602,0.602,0.348,2.231,0.04,111.153,5.723,0
24055,2594.0,10.09,57.1,8.547,8.5,0.73,0.67,0.67,0.361,2.241,0.04,111.928,5.812,0
24056,2594.1,10.088,60.842,8.547,8.5,0.746,0.693,0.693,0.374,2.251,0.041,112.703,5.902,0
24057,2594.2,10.084,68.804,8.562,8.5,0.763,0.742,0.742,0.398,2.274,0.042,114.548,6.281,0
24058,2594.3,10.08,76.88,8.547,8.5,0.798,0.759,0.759,0.426,2.299,0.046,115.486,6.722,0
24059,2594.4,10.086,83.885,8.625,8.5,0.79,0.75,0.75,0.445,2.322,0.051,116.454,7.079,0
24060,2594.5,10.092,84.167,8.625,8.5,0.789,0.759,0.759,0.453,2.335,0.055,117.528,7.263,0
